Index,Symbol
Nifty Alpha 50,GRANULES
Nifty Alpha 50,MANAPPURAM
Nifty Alpha 50,HINDUNILVR
Nifty Alpha 50,ISEC
Nifty Alpha 50,ICICIGI
Nifty Alpha 50,TORNTPHARM
Nifty Alpha 50,ICICIPRULI
Nifty Alpha 50,ESCORTS
Nifty Alpha 50,APLLTD
Nifty Alpha 50,MUTHOOTFIN
Nifty Alpha 50,BERGEPAINT
Nifty Alpha 50,DIXON
Nifty Alpha 50,VBL
Nifty Alpha 50,ABBOTINDIA
Nifty Alpha 50,RALLIS
Nifty Alpha 50,APOLLOHOSP
Nifty Alpha 50,ADANIGREEN
Nifty 100,ACC
Nifty 100,ABBOTINDIA
Nifty 100,ADANIPORTS
Nifty 100,ADANITRANS
Nifty 100,AMBUJACEM
Nifty 100,ASIANPAINT
Nifty 100,AUROPHARMA
Nifty 100,DMART
Nifty 100,AXISBANK
Nifty 100,BAJAJ-AUTO
